Shear Information,, 2022-08-05 9:03,
,,,
Index,Time[ms],Dist[um],Force[g]
0,0,0,0.6044
1,1,0.413940662,1.001178265
2,2,0.937625323,1.053793675
3,3,1.079374859,1.06488381
4,4,1.612025375,1.286259743
5,5,1.993902119,1.429624692
6,6,2.493538577,1.492793538
7,7,2.76085137,1.83846705
8,8,3.028582256,2.061197829
9,9,3.473403099,2.299711759
10,10,3.838215395,2.584468679
11,11,4.211580215,3.066249633
12,12,4.593736024,3.563806928
13,13,4.940770904,3.933119379
14,14,5.211421829,4.370095985
15,15,5.612729483,4.717156987
16,16,6.008811927,4.875966307
17,17,6.55677417,5.187172482
18,18,6.894534379,5.373711584
19,19,7.331843632,5.640104904
20,20,7.655959756,5.651937589
21,21,8.035271819,5.369271786
22,22,8.27228277,4.565096804
23,23,8.59564498,3.268217358
24,24,9.240785765,2.146842398
25,25,9.734960109,1.741844919
26,26,10.02964617,2.446986473
27,27,10.35152395,3.024544799
28,28,10.80232725,3.499722265
29,29,10.98615558,3.505103015
30,30,11.51007414,3.069368184
31,31,11.98457595,2.605518658
32,32,12.13763923,2.143514898
33,33,12.64597867,2.070872176
34,34,12.99895498,2.457761941
35,35,13.48463178,2.900693952
36,36,13.81060063,3.160067562
37,37,14.125638,3.136299828
38,38,14.41794244,3.09951854
39,39,14.88690952,3.02286494
40,40,15.35655392,3.183143722
41,41,15.74106321,3.299317202
42,42,16.06281809,3.417740647
43,43,16.58608351,3.672122398
44,44,16.87932018,3.731587807
45,45,17.37957463,3.822957855
46,46,17.67011151,3.864532723
47,47,18.06011846,4.060419223
48,48,18.52910468,4.33479889
49,49,18.99139165,4.538808751
50,50,19.26693537,4.697495314
51,51,19.75851426,4.792635483
52,52,19.96052928,4.953516882
53,53,20.48431946,5.075089579
54,54,20.93775324,5.476510617
55,55,21.3724183,5.767933382
56,56,21.63492306,6.115331788
57,57,22.01597965,6.444609059
58,58,22.3257664,6.532089962
59,59,22.89552184,7.066289443
60,60,23.16706706,7.285965202
61,61,23.68195121,8.066168314
62,62,24.09453923,8.557773339
63,63,24.460433,8.901494994
64,64,24.88358081,9.282547501
65,65,25.13125829,9.405353068
66,66,25.60762693,9.832323502
67,67,26.00057764,10.21143048
68,68,26.30240569,10.49895592
69,69,26.72870207,10.80720092
70,70,27.4915316,11.49825353
71,71,27.8318099,11.8494766
72,72,28.09500331,12.17860221
73,73,28.51541078,12.44270121
74,74,29.00978698,12.5659897
75,75,29.38228499,12.97232025
76,76,29.77238869,13.28382218
77,77,30.14060786,13.61275688
78,78,30.55103898,14.10364801
79,79,30.87729448,14.51342378
80,80,31.32989287,14.81968661
81,81,31.64519683,15.03468768
82,82,32.19657841,15.25992642
83,83,32.58064936,15.35371404
84,84,32.92732381,15.71915981
85,85,33.18086907,16.21070115
86,86,33.7382139,16.54516005
87,87,34.14642454,16.89408105
88,88,34.48498614,17.1717012
89,89,34.94816636,17.51296497
90,90,35.21821654,17.49578851
91,91,35.73639408,17.73256195
92,92,36.10125759,17.78534678
93,93,36.43147311,18.09116662
94,94,36.88182341,18.43825729
95,95,37.31954482,18.76821829
96,96,37.69386547,19.05410761
97,97,38.17751182,19.26580082
98,98,38.3873723,19.3722867
99,99,38.97089831,19.32697197
100,100,39.2121001,19.4681474
101,101,39.72830981,19.43812714
102,102,40.21864036,19.53023347
103,103,40.39803599,19.97286349
104,104,41.020994,20.0450262
105,105,41.54079028,20.23437246
106,106,41.6988111,20.31529904
107,107,42.05342523,20.2861689
108,108,42.56725097,20.04036472
109,109,43.01943052,19.8906115
110,110,43.43326835,19.78734634
111,111,43.87936063,19.95161291
112,112,44.23684222,20.23841806
113,113,44.63641263,20.60349919
114,114,44.87417086,20.56233544
115,115,45.40392276,20.58800931
116,116,45.71410667,20.52749728
117,117,46.35003033,20.28634233
118,118,46.72402534,20.44859563
119,119,47.20658755,20.52877481
120,120,47.66657832,20.87886646
121,121,48.04086618,21.05599899
122,122,48.32393804,21.08225654
123,123,48.82725488,21.02163465
124,124,49.15361778,20.85656201
125,125,49.44264152,20.49926113
126,126,49.97067491,20.40456699
127,127,50.43904321,20.52517896
128,128,50.80295491,20.8654007
129,129,51.16592129,20.88206186
130,130,51.63504129,20.90902092
131,131,52.03491155,20.82313323
132,132,52.35204217,20.43210205
133,133,52.73669105,20.11302384
134,134,53.17180906,19.83144465
135,135,53.38809717,19.73165383
136,136,53.5463249,19.93387923
137,137,53.85265699,19.91042002
138,138,54.01041413,20.16081864
139,139,54.28343126,19.95431982
140,140,54.47501429,19.87180293
141,141,54.79571925,19.72171637
142,142,55.00690483,19.44570826
143,143,55.04691065,19.41904804
144,144,55.39766928,19.31218866
145,145,55.50614971,19.24063949
146,146,55.91427007,19.17498383
147,147,56.02890662,19.10416418
148,148,56.21812433,18.82795547
149,149,56.41068441,18.81854715
150,150,56.54652795,18.57069031
151,151,56.83339357,18.20920673
152,152,57.16173611,18.11724803
153,153,57.22079153,18.12950339
154,154,57.48438471,18.00632965
155,155,57.7200964,17.98363511
156,156,57.94782467,17.66044189
157,157,58.17384721,17.38774668
158,158,58.37720293,16.99585337
159,159,58.65956838,16.52407309
160,160,58.75677265,16.06155113
161,161,58.96900083,15.80582141
162,162,59.21940411,15.741948
163,163,59.50332222,15.50123587
164,164,59.72815562,15.27772297
165,165,59.97706625,14.63299327
166,166,60.14886555,14.07688209
167,167,60.34950507,13.57159739
168,168,60.70408304,12.90632423
169,169,60.84826745,12.24887678
170,170,61.07170472,11.75845257
171,171,61.24841054,11.47230714
172,172,61.42169015,11.17200846
173,173,61.85274893,10.99001731
174,174,61.85811698,10.7716921
175,175,62.15265259,10.43793698
176,176,62.34668287,10.05096656
177,177,62.53209729,9.504288632
178,178,62.79303772,8.672286003
179,179,63.04573114,7.821747042
180,180,63.16947661,6.449633075
181,181,63.49881513,4.518130706
182,182,63.64421058,2.891576961
183,183,63.92450865,1.213059939
184,184,64.13326336,0.793995123
185,185,63.86789654,1.238954605
186,186,64.02519832,1.819797023
187,187,63.94918934,2.006456343
188,188,63.89401262,1.847722781
189,189,64.09154084,1.202611296
190,190,64.07505645,0.88786596
191,191,64.03729581,1.063770645
192,192,63.95036828,1.413230334
193,193,64.05624183,1.564106356
194,194,63.98132318,1.381480669
195,195,64.10892829,1.227406211
196,196,63.99813409,1.326618961
197,197,64.24285324,1.372083933
198,198,64.06758115,1.393603633
199,199,64.0553935,1.495276805
200,200,63.89825872,1.289181345
201,201,64.03794931,1.376212648
202,202,64.10335684,1.335947285
203,203,64.05722632,1.483934366
204,204,64.00998753,1.436390765
205,205,64.05837949,1.328428055
206,206,63.99464522,1.24772478
207,207,64.09079071,1.469409766
208,208,64.04508411,1.436155669
209,209,64.07721565,1.431712159
210,210,64.03356624,1.284827661
211,211,64.04995367,1.499991496
212,212,64.02416646,1.505857273
213,213,64.08347687,1.437517764
214,214,64.05787189,1.369381526
215,215,64.12245577,1.285002087
216,216,64.14134495,1.201785427
217,217,64.01612182,1.381240325
218,218,63.93929284,1.375579242
219,219,63.90517977,1.535105907
220,220,64.13362724,1.359153982
221,221,64.01351054,1.464736157
222,222,64.07538167,1.355280146
223,223,64.10715511,1.364174852
224,224,64.09630588,1.385228772
225,225,63.97767128,1.466664148
226,226,64.19762372,1.434841738
227,227,63.99533281,1.498155975
228,228,64.08384929,1.589753442
229,229,64.06514894,1.273847719
230,230,64.03019061,1.357047226
231,231,64.22500078,1.281308578
232,232,64.21184759,1.200747924
